Term,Definition
⚙️ Configuration changes,"Harden settings - Remove unnecessary services - Update credentials - Apply baselines"
🛡️ Compensating controls,"Alternative mitigations - When patching not possible - Temporary measures - Risk acceptance"
🔀 Isolation/segmentation,"Network segmentation - VLAN separation - Quarantine systems - Air gaps"
📋 Patch management process,"Identify patches - Test patches - Approve patches - Deploy patches - Verify deployment"
📅 Patch scheduling,"Critical patches immediately - Regular patch cycles - Maintenance windows - Emergency procedures"
🧪 Patch testing,"Lab environment - Pilot deployment - Compatibility testing - Rollback procedures"
✅ Tracking and validation,"Remediation status - Verification scanning - Closure documentation - Trend analysis"
⏱️ SLA compliance,"Remediation timelines - Critical: 30 days or less - High: 60 days - Medium: 90 days"
🎯 Penetration test definition,"Authorized simulated attack - Identify exploitable vulnerabilities - Go beyond vulnerability scanning - Controlled environment"
📋 Rules of engagement,"Scope definition - Authorization - Timeframe - Communication plan - Legal considerations"
⬜ Known environment (White box),"Full knowledge - Network diagrams, credentials - Internal perspective - Comprehensive assessment"
⬛ Unknown environment (Black box),"No prior knowledge - External attacker perspective - Realistic scenario - Limited information"
◼️ Partially known environment (Gray box),"Some information provided - Balanced approach - Efficient testing - Hybrid perspective"
🏢 Physical penetration testing,"Physical security controls - Building access - Tailgating - Social engineering"
⚔️ Offensive testing,"Red team exercises - Simulate real attacks - Test defenses - Evade detection"
🛡️ Defensive testing,"Blue team exercises - Incident response - Detection capabilities - Defense improvements"
🤝 Integrated testing,"Purple team - Collaboration between red and blue - Knowledge sharing - Continuous improvement"
🔍 Reconnaissance,"Information gathering - OSINT - Network mapping - Target identification"
💥 Initial exploitation,"Gain initial access - Exploit vulnerabilities - Social engineering - Phishing campaigns"
📌 Persistence,"Maintain access - Backdoors - Scheduled tasks - Registry modifications"
⬆️ Privilege escalation (pentest),"Gain higher privileges - Admin/root access - Exploit misconfigurations - Credential theft"
↔️ Lateral movement,"Move through network - Access other systems - Pivot points - Network traversal"
🧹 Cleanup,"Remove artifacts - Restore systems - Document findings - Detailed report"
🌐 Open-source intelligence (OSINT),"Publicly available - Social media - Forums and blogs - News sources"
🔒 Proprietary intelligence,"Commercial threat feeds - Paid subscriptions - Vendor-specific - Industry reports"
🤝 Information sharing,"ISACs (Information Sharing and Analysis Centers) - Government agencies - Industry partnerships - Peer organizations"
🎯 Strategic intelligence (threat),"High-level trends - Long-term planning - Executive decisions - Business risk"
🛠️ Tactical intelligence (threat),"TTPs (Tactics, Techniques, Procedures) - Attack methods - Operational defense - Security team use"
⚡ Operational intelligence (threat),"Ongoing campaigns - Specific threats - Real-time data - Incident response"
📡 Threat feeds,"IP reputation lists - Domain blacklists - File hashes (IOCs) - Automated integration"
🔄 STIX/TAXII,"STIX: Structured Threat Information Expression - TAXII: Trusted Automated Exchange of Intelligence Information - Standard formats - Automated sharing"
🔎 Threat hunting,"Proactive searching - Hypothesis-driven - Advanced threats - Continuous activity"
📊 Log aggregation,"Centralize logs - Multiple sources - Correlation - Long-term storage"
📁 Log sources,"Firewall logs - IDS/IPS logs - System logs - Application logs - Authentication logs"
🔔 Alerting and thresholds,"Define alert conditions - Threshold levels - Alert fatigue prevention - Tuning required"
📋 Scanning and reporting,"Regular scans - Compliance reports - Trend analysis - Dashboard views"
🗄️ Archiving,"Long-term retention - Compliance requirements - Forensic analysis - Secure storage"
🚨 Alert response,"Triage alerts - Investigate incidents - Escalation procedures - Documentation"
📈 Key Performance Indicators (KPIs),"Mean time to detect (MTTD) - Mean time to respond (MTTR) - False positive rate - Vulnerability remediation time"
🛡️ Security posture,"Overall security health - Compliance status - Risk level - Trend analysis"
🔍 Security Information and Event Management (SIEM),"Centralized logging - Real-time analysis - Correlation engine - Alerting and reporting"
⚙️ SIEM capabilities,"Log collection and aggregation - Normalization - Correlation rules - Incident detection - Compliance reporting"
🔄 SIEM workflow,"Data collection - Parsing and normalization - Correlation and analysis - Alert generation - Incident response"
🤖 SOAR (Security Orchestration, Automation, and Response),"Automate workflows - Integrate tools - Playbooks - Reduce response time"
✨ Automation benefits,"Faster response - Consistent actions - Reduce human error - Scale operations"
📋 SCAP (Security Content Automation Protocol),"Standardized vulnerability information - Automated compliance checking - Configuration assessment - NIST standard"
📚 Benchmarks and frameworks,"CIS Benchmarks - STIG (Security Technical Implementation Guide) - Automated compliance - Configuration validation"
🌐 Network monitoring tools,"Packet analyzers (Wireshark) - NetFlow collectors - SNMP monitoring - Bandwidth monitors"
🔄 Updates and patches,"Security patches - Feature updates - Automated updates - Testing procedures"
👤 User accounts,"Disable unnecessary accounts - Strong password policies - Least privilege - Regular audits"
⚙️ Services and processes,"Disable unnecessary services - Startup programs - Background processes - Service accounts"
🪟 Windows security,"Windows Defender - BitLocker encryption - Windows Firewall - User Account Control (UAC) - Group Policy"
🐧 Linux security,"SELinux / AppArmor - iptables / nftables - sudo configuration - File permissions - Package management"
🍎 macOS security,"Gatekeeper - FileVault encryption - XProtect antivirus - System Integrity Protection (SIP)"
🔧 Registry/configuration hardening,"Registry security (Windows) - Configuration files (Linux/Unix) - Secure defaults - Audit settings"
📝 Logging and auditing,"Enable audit logs - Monitor security events - Log forwarding - Retention policies"
🦠 Antivirus / Anti-malware,"Signature-based detection - Heuristic analysis - Real-time protection - Regular updates"
🎯 Endpoint Detection and Response (EDR),"Advanced threat detection - Behavioral analysis - Automated response - Forensic capabilities"
🔥 Host-based firewalls,"Inbound/outbound filtering - Application control - Network profiles - Logging"
👁️ Host-based IDS/IPS (HIDS/HIPS),"Monitor host activities - Detect suspicious behavior - Prevent exploits - File integrity monitoring"
🛡️ Data Loss Prevention (DLP),"Monitor data movement - Prevent exfiltration - USB control - Email filtering - Cloud DLP"
📱 Application control,"Application whitelisting - Software restriction policies - Prevent unauthorized apps - Execution control"
🔐 Encryption (endpoint),"Full-disk encryption - File-level encryption - Removable media encryption - Self-encrypting drives (SED)"
✉️ Email encryption,"TLS for transport - S/MIME for end-to-end - PGP/GPG - Digital signatures"
🚫 Anti-spam,"Spam filtering - Bayesian filters - Reputation lists - Content analysis"
🎣 Anti-phishing,"Link analysis - Sender verification - User training - Reporting mechanisms"
📧 DLP for email,"Content inspection - Policy enforcement - Block sensitive data - Quarantine"
📤 SPF (Sender Policy Framework),"Authorized sender IPs - DNS-based - Prevent spoofing"
🔑 DKIM (DomainKeys Identified Mail),"Email signing - Cryptographic verification - Message integrity"
✅ DMARC (Domain-based Message Authentication, Reporting & Conformance),"Policy framework - SPF and DKIM alignment - Reporting - Reject/quarantine"
🚪 Email gateways,"Centralized filtering - Cloud-based or on-premises - Multiple security layers - Sandboxing"
🔒 HTTPS (HTTP Secure),"TLS/SSL encryption - Port 443 - Certificate-based - Replace HTTP"
📁 FTPS (FTP Secure),"FTP over TLS/SSL - Explicit or implicit - Encrypted file transfer"
🔐 SFTP (SSH File Transfer Protocol),"FTP over SSH - Port 22 - Strong encryption - Preferred over FTPS"
🖥️ SSH (Secure Shell),"Encrypted remote access - Port 22 - Key-based authentication - Replace Telnet"
📊 SNMPv3,"Encrypted SNMP - Authentication - Message integrity - Replace SNMPv1/v2"
📖 LDAPS (LDAP over SSL),"Encrypted LDAP - Port 636 - Secure directory access"
📞 SRTP (Secure Real-time Transport Protocol),"Encrypted VoIP - AES encryption - Authentication"
✉️ S/MIME and PGP,"Email encryption - Digital signatures - End-to-end security"
⛔ Disable insecure protocols,"Telnet → SSH - HTTP → HTTPS - FTP → SFTP/FTPS - SNMPv1/v2 → SNMPv3"
🌐 URL filtering,"Category-based blocking - Blacklists and whitelists - Reputation-based - Real-time lookup"
🔍 Content filtering,"Keyword blocking - File type restrictions - MIME type filtering - Malware scanning"
🔀 Agent-based vs. centralized,"Agent on endpoint - Centralized proxy/gateway - Cloud-based filtering - Hybrid approaches"
🔀 Web proxy,"Explicit proxy - Transparent proxy - Content caching - Access control"
🔐 SSL/TLS inspection,"Decrypt HTTPS traffic - Inspect encrypted content - Re-encrypt to destination - Certificate considerations"
🛡️ Web application firewall (WAF),"HTTP/HTTPS protection - OWASP Top 10 - SQL injection prevention - XSS protection"
📋 Firewall rules,"Access control lists (ACLs) - Allow/deny rules - Order matters - Default deny"
🗺️ Firewall zones,"Trust zones - Untrusted zones - DMZ - Internal networks"
🚫 Implicit deny,"Default deny all - Explicit allow rules - Security best practice - Whitelist approach"
🔍 Rule review,"Regular audits - Remove unused rules - Consolidate rules - Document changes"
🔥 Firewall logs,"Allowed connections - Denied connections - Security events - Compliance auditing"
⚡ High availability (firewall),"Redundant firewalls - Active/passive - Active/active - State synchronization"
🌐 Network traffic,"Packet captures - NetFlow/sFlow - Bandwidth monitoring - Protocol analysis"
📄 System logs,"Syslog - Windows Event Logs - Authentication logs - Application logs"
🔥 Firewall logs (monitoring),"Connection attempts - Allowed traffic - Denied traffic - Policy violations"
🚨 IDS/IPS logs,"Alert logs - Signatures triggered - Attack attempts - False positives"
🔗 Log correlation,"Multiple log sources - Timeline reconstruction - Pattern identification - Incident detection"
📊 Baseline analysis,"Normal behavior - Anomaly detection - Deviation alerts - Threshold monitoring"
📈 Trend analysis,"Historical data - Predictive analysis - Capacity planning - Security posture"
🔍 Identification,"Username - Email address - Employee ID - Unique identifier"
🔑 Authentication (IAM),"Prove identity - Password - Biometrics - Multi-factor"
✅ Authorization (IAM),"What access is granted - Permissions - Access control - Resource access"
📊 Accounting (IAM),"Track activities - Audit logs - Monitoring - Compliance"
📖 Directory services,"LDAP (Lightweight Directory Access Protocol) - Active Directory - Centralized management - Authentication source"
🤝 Federation,"Trusted relationships - Third-party authentication - SAML, OAuth, OpenID Connect - Single sign-on across organizations"
🔐 Single Sign-On (SSO),"One login, multiple resources - Improved user experience - Centralized authentication - Reduced password fatigue"
🔒 Privileged Access Management (PAM),"Elevated privileges - Admin account control - Just-in-time access - Session recording"
➕ Account creation,"Automated provisioning - User lifecycle - Role-based provisioning - Approval workflows"
🔧 Account maintenance,"Regular reviews - Permission updates - Role changes - Recertification"
➖ Account deprovisioning,"Termination procedures - Disable accounts - Remove access - Archive data"
🧠 Something you know,"Password - PIN - Security questions - Passphrases"
🔑 Something you have,"Smart card - Hardware token - Soft token (mobile app) - USB security key"
👤 Something you are,"Fingerprint - Face recognition - Iris scan - Voice recognition"
📍 Somewhere you are,"Geolocation - IP address - Network location - GPS coordinates"
✋ Something you do,"Typing patterns - Gait analysis - Signature - Behavioral biometrics"
🔐 MFA methods,"SMS codes (less secure) - Authenticator apps (TOTP) - Push notifications - Hardware tokens - Biometric + password"
⏰ TOTP (Time-based One-Time Password),"Google Authenticator - Microsoft Authenticator - Time-synchronized - 30-second intervals"
🔢 HOTP (HMAC-based One-Time Password),"Counter-based - Generates codes on demand - No time synchronization"
📱 Push notifications,"Mobile app approval - Out-of-band authentication - User confirmation required - Context information"
🧠 Adaptive authentication,"Risk-based - Context-aware - Behavioral analysis - Dynamic requirements"
📜 Certificate-based authentication,"Digital certificates - PKI infrastructure - Mutual authentication - Smart cards"
🔐 Password complexity,"Length requirements (minimum 8-12 characters) - Character variety - Upper/lowercase - Numbers and symbols"
📋 Password policies,"Minimum length - Complexity requirements - Expiration (if used) - History (prevent reuse) - Account lockout"
🔑 Password managers,"Generate strong passwords - Encrypted storage - Auto-fill capability - Sync across devices"
🚀 Passwordless authentication,"FIDO2 - Windows Hello - Biometrics - Security keys"
⚔️ Password attacks,"Brute force - Dictionary attacks - Password spraying - Credential stuffing"
🔒 Password storage,"Never plain text - Hashing (bcrypt, Argon2) - Salting - Key stretching"
🔄 Password reset procedures,"Self-service portal - Identity verification - Secure delivery method - Temporary passwords"
🔒 Account lockout,"Failed login threshold - Lockout duration - Administrator unlock - Prevent brute force"
⏰ Password age,"Regular changes (controversial) - Balance security and usability - Modern guidance: change when compromised"
🔒 MAC (Mandatory Access Control),"Classification-based - System-enforced - Labels (Top Secret, Secret, etc.) - Government/military use"
👤 DAC (Discretionary Access Control),"Owner-controlled - User discretion - ACLs (Access Control Lists) - Common in business"
👥 RBAC (Role-Based Access Control),"Role-based permissions - Group membership - Easier administration - Most common model"
🏷️ ABAC (Attribute-Based Access Control),"Attribute-based decisions - Dynamic policies - Context-aware - Fine-grained control"
🔐 Least privilege,"Minimum necessary access - Default deny - Just enough permissions - Regular review"
🔀 Separation of duties,"Divide responsibilities - No single person controls entire process - Fraud prevention - Dual control"
⏰ Time-of-day restrictions,"Limit access hours - Business hours only - Reduce attack window - Compliance requirement"
📍 Location-based restrictions,"Geographic limitations - IP address filtering - Geofencing - VPN requirements"
🔍 User access review,"Regular audits - Quarterly or annual - Remove unnecessary access - Recertification"
⬆️ Privilege creep,"Accumulation of permissions - Job changes - Regular cleanup - Access governance"
⚡ Efficiency,"Reduce manual effort - Faster execution - Consistent results - Scale operations"
✅ Accuracy,"Eliminate human error - Repeatable processes - Standardized configurations - Reliable outcomes"
📊 Continuous monitoring,"24/7 operations - Automated responses - Real-time alerts - Proactive detection"
➕ User provisioning,"Automated account creation - Role-based access - Onboarding workflows - Deprovisioning"
🎫 Ticket creation,"Automated incident tickets - SIEM integration - Workflow triggers - Assignment rules"
🚨 Security responses,"Isolate compromised systems - Block malicious IPs - Quarantine files - Reset passwords"
✅ Compliance,"Automated audits - Configuration checks - Report generation - Remediation tracking"
💻 Scripting languages,"PowerShell (Windows) - Bash/Shell (Linux) - Python (cross-platform) - Perl, Ruby"
📝 Use cases,"Log analysis - Security scanning - Configuration management - Data processing"
✨ Best practices,"Version control - Code review - Testing - Documentation - Error handling"
🎭 Security orchestration,"Coordinate multiple tools - Automated workflows - Playbooks - Integration platform"
🤖 SOAR capabilities,"Security orchestration - Automation - Response - Case management"
📝 Infrastructure as Code,"Terraform - Ansible - Puppet, Chef - CloudFormation"
📋 Incident response plan,"Documented procedures - Roles and responsibilities - Communication plan - Escalation procedures"
👥 Incident response team,"Security analysts - IT staff - Management - Legal counsel - PR/communications - External partners"
📞 Communication plan,"Internal notifications - External communications - Media relations - Customer notifications - Regulatory reporting"
📋 Tabletop exercises,"Discussion-based - Walk through scenarios - Test procedures - Identify gaps - Low cost, low risk"
🎭 Simulations,"Live exercises - Simulated incidents - Test tools and processes - Practice coordination - More realistic"
🔍 Root cause analysis,"Identify underlying cause - Prevent recurrence - Improve processes - Lessons learned"
📝 Incident documentation,"Timeline of events - Actions taken - Evidence collected - Decisions made - Lessons learned"
📅 Retention requirements,"Legal requirements - Compliance mandates - Organization policy - Evidence preservation"
1️⃣ 1. Preparation,"Tools and resources - Training - Policies and procedures - Communication plan"
2️⃣ 2. Identification (Detection),"Detect incidents - Determine scope - Categorize severity - Alert appropriate parties"
3️⃣ 3. Containment,"Short-term: Immediate actions, isolate systems, prevent spread - Long-term: Temporary fixes, clean systems, apply patches"
4️⃣ 4. Eradication,"Remove threat - Delete malware - Patch vulnerabilities - Reset passwords - Fix root cause"
5️⃣ 5. Recovery,"Restore systems - Verify normal operation - Monitor for reinfection - Return to production - Gradual restoration"
6️⃣ 6. Lessons Learned,"Post-incident review - What went well - What needs improvement - Update procedures - Document findings"
🔒 Isolation,"Disconnect from network - Physical isolation - VLAN segmentation - Firewall rules"
🔀 Segmentation (containment),"Limit lateral movement - Contain to segment - Protect critical assets - Micro-segmentation"
📦 Evidence collection,"Order of volatility - Proper procedures - Chain of custody - Forensic tools"
⚖️ Legal hold,"Preserve evidence - Litigation support - Regulatory compliance - No destruction"
📊 Order of volatility,"Most volatile first - CPU cache and registers - RAM (memory dump) - Network traffic - Disk drives - Backups and logs"
💾 Data acquisition,"Forensic imaging - Bit-by-bit copy - Write blockers - Hash verification - Maintain integrity"
🔗 Chain of custody,"Document handling - Who, what, when, where - Maintain integrity - Court admissibility - Unbroken chain"
🧠 Memory forensics,"RAM analysis - Running processes - Network connections - Encryption keys - Volatile data"
💿 Disk forensics,"File system analysis - Deleted file recovery - Timeline analysis - Metadata examination"
🌐 Network forensics,"Packet capture - Flow analysis - Protocol analysis - Network logs"
🔍 E-discovery,"Electronic evidence - Legal proceedings - Search and collection - Relevance and privilege"
📄 Forensic reporting,"Detailed findings - Technical analysis - Timeline reconstruction - Expert testimony"
⚖️ Legal considerations,"Admissibility - Privacy laws - Data protection - Jurisdictional issues"
