Term,Definition
✅ Compliance obligations,"Industry regulations - Geographic requirements - Contractual obligations - Legal mandates"
🌍 Data sovereignty,"Data location requirements - National laws - Cross-border data transfer - Cloud considerations"
🗑️ Right to be forgotten,"GDPR requirement - Delete personal data - Data retention limits - User rights"
⚖️ Legal implications,"Liability - Due diligence - Duty of care - Negligence"
💡 Intellectual property,"Patents, trademarks, copyrights - Trade secrets - Licensing - Protection mechanisms"
📜 Licensing restrictions,"Software licensing - User limits - Usage restrictions - Compliance audits"
✨ Best practices,"Industry benchmarks - Peer comparisons - Maturity models - Continuous improvement"
🔍 Due diligence and due care,"Due diligence: Investigation and research - Due care: Taking action to protect - Legal requirements - Reasonable security measures"
👑 Data owner,"Business executive - Ultimate responsibility - Classification decisions - Access approval - Budget authority"
🎯 Data controller,"Determines purpose and means - GDPR term - Decision-making authority - Compliance responsibility"
⚙️ Data processor,"Processes data on behalf of controller - GDPR term - Third-party services - Contractual obligations"
🔧 Data custodian/steward,"IT staff - Day-to-day handling - Implement controls - Backup and recovery - Technical safeguards"
🛡️ Data protection officer (DPO),"GDPR requirement (in some cases) - Privacy expert - Compliance monitoring - Data protection authority liaison"
👤 Data subject,"Individual whose data is collected - GDPR rights - Access, rectification, erasure - Consent management"
⚠️ Risk definition,"Likelihood of threat exploiting vulnerability - Impact on organization - Uncertainty - Measured and managed"
📋 Ad hoc assessments,"As-needed basis - Specific concerns - New projects - Change-driven"
📋 Recurring assessments,"Regular schedule - Annual, quarterly - Continuous monitoring - Ongoing process"
📊 Qualitative risk assessment,"Subjective - Low, Medium, High - Quick and easy - Less precise"
📊 Quantitative risk assessment,"Objective - Numerical values - Cost-based - More precise but time-consuming"
📊 Likelihood,"Probability of occurrence - Historical data - Threat intelligence - Environmental factors"
💥 Impact,"Potential damage - Financial loss - Reputational harm - Operational disruption - Legal consequences"
🎯 Risk appetite,"Amount of risk organization willing to accept - Strategic decision - Board-level - Guides risk decisions"
⚖️ Risk tolerance,"Acceptable variation from risk appetite - Specific thresholds - Operational level - Technical limits"
🚧 Risk threshold,"Limit of acceptable risk - Trigger for action - Risk vs. cost balance"
🔍 Asset identification,"Inventory assets - Determine value - Classify by importance - Prioritize protection"
⚠️ Threat identification,"Internal threats - External threats - Natural disasters - Human threats - Technical threats"
🔍 Vulnerability identification,"Scanning - Assessments - Pentesting - Security audits"
💰 Asset Value (AV),"Monetary value of asset - Replacement cost - Revenue generation - Strategic value"
📊 Exposure Factor (EF),"Percentage of asset loss - If threat realized - 0% to 100%"
💵 Single Loss Expectancy (SLE),"SLE = AV × EF - Loss from single incident - Monetary value"
📅 Annual Rate of Occurrence (ARO),"Expected frequency per year - Historical data - Probability estimate"
💰 Annualized Loss Expectancy (ALE),"ALE = SLE × ARO - Expected annual loss - Cost-benefit analysis - Justifies controls"
📋 Risk register components,"Risk description - Risk owner - Likelihood and impact - Current controls - Risk score/rating - Mitigation plans - Status tracking"
🔄 Risk register maintenance,"Regular updates - Continuous monitoring - New risk identification - Control effectiveness"
📊 Business Impact Analysis (BIA),"Identify critical functions - Determine impact of disruption - Prioritize recovery - Resource requirements - Dependencies"
📋 Impact categories,"Financial impact - Reputational impact - Operational impact - Legal/regulatory impact - Customer impact"
⏱️ Maximum Tolerable Downtime (MTD),"Longest acceptable outage - Before severe consequences - Business-driven - Per critical function"
⏰ Recovery Time Objective (RTO),"Target recovery time - Return to operation - Must be < MTD - Technical goal"
📅 Recovery Point Objective (RPO),"Acceptable data loss - Point-in-time recovery - Backup frequency - Data criticality"
🔧 Mean Time to Repair (MTTR),"Average repair time - Historical metric - Incident response efficiency - Continuous improvement"
⚙️ Mean Time Between Failures (MTBF),"Average time between incidents - Reliability metric - Hardware specifications - Predictive maintenance"
🎯 Mission-essential functions,"Core business operations - Revenue generation - Customer service - Critical dependencies"
⚠️ Single Point of Failure (SPOF),"Component whose failure stops system - Eliminate where possible - Redundancy planning - High-risk areas"
✅ Risk acceptance,"Accept the risk - No additional controls - Cost exceeds benefit - Documented decision - Management approval required"
🚫 Risk avoidance,"Eliminate the risk - Stop the activity - Change plans - Different approach"
🔄 Risk transference (Risk sharing),"Transfer risk to third party - Insurance - Contracts and SLAs - Outsourcing - Cloud services"
🛡️ Risk mitigation (Risk reduction),"Reduce likelihood or impact - Implement controls - Most common strategy - Security measures"
📊 Continuous monitoring,"Ongoing assessment - Risk changes over time - New threats emerge - Control effectiveness"
📈 Key Risk Indicators (KRIs),"Early warning signs - Proactive monitoring - Trending data - Predictive metrics"
📄 Risk reporting,"Executive dashboards - Risk heat maps - Trend analysis - Compliance status"
🔍 Vendor selection,"Due diligence process - Security questionnaires - References and reputation - Financial stability - Technical capabilities"
🔐 Security assessments,"Review security controls - Certification review (ISO 27001, SOC 2) - Penetration test results - Security audits - Compliance verification"
📋 Right-to-audit clause,"Contract provision - Audit vendor security - Assess compliance - Verify controls - Independent assessments"
🔗 Supply chain analysis,"Identify dependencies - Critical vendors - Sub-contractors - Geographic risks - Concentration risk"
👁️ Vendor monitoring,"Ongoing oversight - Performance metrics - Security incident tracking - Compliance verification - Regular reviews"
📝 Vendor questionnaires,"Security practices - Data handling - Incident response - Business continuity - Insurance coverage"
📋 Service Level Agreement (SLA),"Performance metrics - Uptime guarantees - Response times - Penalties for non-performance"
🤝 Memorandum of Understanding (MOU),"Mutual agreement - Less formal than contract - Partnership terms - Cooperation framework"
📜 Memorandum of Agreement (MOA),"Binding agreement - Specific obligations - Legal commitments - More formal than MOU"
📄 Master Service Agreement (MSA),"Umbrella agreement - General terms - Framework for future work - Work orders reference MSA"
📋 Statement of Work (SOW),"Specific project details - Deliverables - Timeline - Payment terms"
🔨 Work Order (WO),"Specific task request - Under MSA framework - Defined scope - Purchase order"
🤐 Non-Disclosure Agreement (NDA),"Confidentiality - Protect sensitive information - Mutual or unilateral - Legal protection"
🤝 Business Partnership Agreement (BPA),"Long-term relationship - Strategic partnership - Shared goals - Risk and reward sharing"
🔍 Independent assessments,"Third-party auditors - Unbiased evaluation - Compliance verification - Certification"
📊 Evidence of internal audits,"Vendor's own audits - Self-assessment - Control validation - Continuous improvement"
🎯 Vendor penetration testing,"Security testing - Vulnerability identification - Attack simulation - Report review"
⚖️ Regulatory compliance,"Legal requirements - Industry mandates - Geographic regulations - Mandatory adherence"
✅ Compliance obligations (regulations),"GDPR (EU) - HIPAA (Healthcare - US) - PCI DSS (Payment cards) - SOX (Financial - US) - FISMA (Federal systems - US) - GLBA (Financial institutions - US)"
📊 Compliance reporting,"Regular audits - Attestation - Certification - Evidence collection - Documentation"
🔧 Compliance monitoring tools,"Automated scanning - Configuration management - SCAP compliance - Continuous monitoring"
⚠️ Compliance consequences,"Fines and penalties - Sanctions - Legal action - Reputational damage - Loss of certifications - Criminal charges"
✅ Attestation,"Formal declaration - Third-party verification - Audit reports - SOC 2, ISO certifications"
📝 Acknowledgement,"User acceptance - Policy acceptance - Terms and conditions - Training completion - Document receipt"
🔒 Data privacy,"Personal information protection - Confidentiality - User rights - Consent management"
⚖️ Legal implications (privacy),"Privacy laws - Data protection regulations - Cross-border considerations - Liability"
🚨 Data breach consequences,"Notification requirements - Fines and penalties - Lawsuits - Reputational damage - Loss of customer trust"
🇪🇺 GDPR (General Data Protection Regulation),"EU regulation (2018) - Personal data rights - Consent requirements - Right to be forgotten - Data portability - Breach notification (72 hours) - Significant fines (up to 4% revenue)"
🏛️ CCPA/CPRA (California Consumer Privacy Act/Rights Act),"California privacy law - Similar to GDPR - Consumer rights - Opt-out requirements"
📋 Data inventory,"Know what data you have - Where it's stored - Who has access - Data classification"
📅 Data retention,"How long to keep data - Legal requirements - Business needs - Deletion schedules"
🎯 Data minimization,"Collect only necessary data - Purpose limitation - Reduce risk - Privacy by design"
📄 Privacy notices,"Inform users - Collection purposes - Data usage - Third-party sharing - User rights"
🔍 Internal audits,"Conducted by organization - Self-assessment - Identify gaps - Prepare for external audits - Continuous improvement"
👁️ External audits,"Third-party auditors - Independent assessment - Compliance verification - Certification - Regulatory requirement"
⚖️ Regulatory audits,"Government agencies - Compliance verification - Industry regulators - Mandatory - Legal consequences"
📜 SOC 2 (Service Organization Control 2),"Type I: Point in time - Type II: Period of time (6-12 months) - Trust service criteria - Security, availability, confidentiality - Service providers"
🏆 ISO 27001 certification,"ISMS audit - Independent certification - International recognition - Annual surveillance audits - 3-year recertification"
📝 Self-assessment,"Internal evaluation - Questionnaires - Control validation - Baseline understanding"
🔍 Independent assessment,"Third-party evaluation - Unbiased perspective - Expertise - Credibility"
✅ Compliance assessment,"Verify adherence - Regulatory requirements - Industry standards - Contract obligations"
🎯 Scope definition,"What's included - What's excluded - Timeframe - Systems covered - Locations"
🎯 Audit objectives,"What to evaluate - Success criteria - Reporting requirements - Stakeholders"
👁️ Known environment (White box),"Full knowledge - Network diagrams, credentials - Internal perspective - Comprehensive assessment"
⬛ Unknown environment (Black box),"No prior knowledge - External attacker perspective - Realistic scenario - Limited information"
◼️ Partially known environment (Gray box),"Some information provided - Balanced approach - Efficient testing - Hybrid perspective"
👁️ Passive reconnaissance,"No direct interaction - OSINT gathering - Public information - Search engines - Social media - WHOIS lookups - DNS enumeration"
🔍 Active reconnaissance,"Direct interaction - Port scanning - Service enumeration - Network mapping - Vulnerability scanning - Detected by defenses"
🔍 Vulnerability scanning (pentest),"Automated tools - Identify vulnerabilities - CVE identification - Priority ranking"
💥 Exploitation,"Attempt to exploit - Gain access - Privilege escalation - Demonstrate impact"
↔️ Lateral movement (pentest),"Move through network - Access other systems - Pivot points - Expand foothold"
📌 Persistence (pentest),"Maintain access - Backdoors - Scheduled tasks - Rootkits"
📄 Reporting (pentest),"Detailed findings - Proof of concepts - Risk ratings - Remediation recommendations - Executive summary"
📋 Program components,"Organization-wide initiative - Ongoing education - Cultural change - Behavior modification"
🎯 Program goals,"Reduce human error - Increase vigilance - Promote security culture - Compliance"
🎣 Recognizing phishing,"Suspicious emails - Unknown senders - Urgent requests - Spelling and grammar errors - Suspicious links - Unexpected attachments"
📧 Phishing campaigns,"Simulated attacks - Training tool - Measure effectiveness - Targeted remediation - Regular testing"
📝 Reporting mechanisms,"Report suspicious emails - Phishing button - Security team contact - Incident reporting - Feedback loop"
⚠️ Risky behaviors,"Password sharing - Tailgating - Unauthorized devices - Data exfiltration - Policy violations"
👤 Insider threats,"Unusual access patterns - Off-hours activity - Large data downloads - Behavioral changes - Reporting concerns"
🔐 Password security awareness,"Strong passwords - Password managers - MFA importance - No sharing"
🎭 Social engineering awareness,"Manipulation tactics - Pretexting - Impersonation - Baiting"
🏢 Physical security awareness,"Badge access - Tailgating prevention - Clean desk policy - Secure disposal"
📱 Mobile device security awareness,"Screen locks - Lost device reporting - Public Wi-Fi risks - App permissions"
📋 Data handling awareness,"Classification - Encryption - Secure transfer - Proper disposal"
👥 Employees (training),"All staff - Role-specific training - Regular updates - Mandatory completion"
👔 Management (training),"Leadership role - Budget decisions - Risk acceptance - Strategic importance"
🤝 Third parties (training),"Contractors - Partners - Suppliers - Vendors - Limited access training"
💻 Computer-based training (CBT),"Online courses - Self-paced - Scalable - Trackable - Cost-effective"
👥 In-person training,"Classroom setting - Interactive - Q&A sessions - Hands-on exercises"
🚩 Capture the flag (CTF),"Gamification - Technical staff - Practical skills - Competition"
⚡ Micro-training,"Short lessons - Just-in-time - Specific topics - Regular reminders"
🍽️ Lunch and learn,"Informal setting - Voluntary attendance - Current topics - Discussion"
📋 Policy training,"Security policies - AUP - Code of conduct - Compliance requirements"
🎯 Role-based training,"Job-specific risks - Relevant scenarios - Tailored content - Practical examples"
➕ Onboarding training,"New hire requirement - Day one security - Baseline knowledge - Policy acknowledgement"
🔄 Ongoing/refresher training,"Annual requirement - Updated threats - New policies - Reinforcement"
📝 Testing and assessment,"Pre and post tests - Knowledge checks - Certification - Passing scores"
📊 Metrics,"Completion rates - Test scores - Phishing click rates - Incident reduction - Time to complete"
📈 Reporting and monitoring,"Compliance tracking - Trend analysis - Gap identification - Continuous improvement"
